k0_base,beta_loss_factor,Q_individual,seed,curve_sep_botanical_vs_random,curve_sep_botanical_vs_fractal,curve_sep_botanical_vs_voronoi,finding_holds
0.002,0.25,0.5,43,0.081,0.7535,0.3823,False
0.002,0.25,0.5,44,2.0842,2.9142,2.0649,False
0.002,0.25,0.5,45,0.464,0.9365,-0.1709,False
0.002,0.25,0.5,46,0.3992,1.4943,0.4875,False
0.002,0.25,0.5,47,0.5646,1.4616,0.3569,False
0.002,0.25,0.5,48,0.4266,0.6555,-0.2553,False
0.002,0.25,0.5,49,0.4534,1.5966,1.0877,False
0.002,0.25,0.5,50,0.7411,1.133,-0.1097,False
0.002,0.25,0.5,51,0.4487,1.7183,0.2857,False
0.002,0.25,0.5,52,0.4122,2.807,3.1406,False
0.002,0.25,0.5,53,-0.4904,0.5508,-0.2056,True
0.002,0.25,0.5,54,0.2467,0.6626,0.3027,False
0.002,0.25,0.5,55,0.7302,1.2822,-0.04,False
0.002,0.25,0.5,56,0.8726,1.4119,-0.0025,False
0.002,0.25,0.5,57,1.5826,2.5166,0.5608,False
0.002,0.25,0.5,58,0.0283,1.217,1.4155,False
0.002,0.25,0.5,59,0.2894,1.2508,0.7838,False
0.002,0.25,0.5,60,1.2688,0.7344,-0.218,False
0.002,0.25,0.5,61,-0.4324,0.0795,-0.3579,True
0.002,0.25,0.5,62,0.643,1.3101,-0.0942,False
0.002,0.25,0.5,63,0.5311,1.9524,0.228,False
0.002,0.25,0.5,64,-0.5607,0.1738,-0.4133,True
0.002,0.25,0.5,65,0.3719,0.8786,0.3767,False
0.002,0.25,0.5,66,1.7415,1.6944,0.6901,False
0.002,0.25,0.5,67,-0.7051,0.1226,-0.4529,True
0.002,0.25,0.5,68,0.2376,0.6954,0.5814,False
0.002,0.25,0.5,69,0.9512,1.4451,0.1889,False
0.002,0.25,0.5,70,-0.3727,0.472,0.2768,False
0.002,0.25,0.5,71,-0.3219,0.4916,0.191,False
0.002,0.25,0.8,42,0.4412,0.6242,0.4026,False
0.002,0.25,0.8,43,0.0807,0.7521,0.3809,False
0.002,0.25,0.8,44,2.08,2.9089,2.0586,False
0.002,0.25,0.8,45,0.4641,0.9361,-0.1705,False
0.002,0.25,0.8,46,0.3985,1.4908,0.4854,False
0.002,0.25,0.8,47,0.5634,1.4587,0.356,False
0.002,0.25,0.8,48,0.4256,0.6544,-0.2554,False
0.002,0.25,0.8,49,0.4524,1.5934,1.0845,False
0.002,0.25,0.8,50,0.7397,1.1312,-0.1099,False
0.002,0.25,0.8,51,0.4483,1.7158,0.2851,False
0.002,0.25,0.8,52,0.4117,2.8019,3.1309,False
0.002,0.25,0.8,53,-0.4902,0.5496,-0.2059,True
0.002,0.25,0.8,54,0.2461,0.6616,0.3015,False
0.002,0.25,0.8,55,0.7287,1.2797,-0.0403,False
0.002,0.25,0.8,56,0.8714,1.4096,-0.0026,False
0.002,0.25,0.8,57,1.5805,2.513,0.5599,False
0.002,0.25,0.8,58,0.0281,1.215,1.4112,False
0.002,0.25,0.8,59,0.2891,1.2491,0.7819,False
0.002,0.25,0.8,60,1.2647,0.7329,-0.2184,False
0.002,0.25,0.8,61,-0.432,0.0796,-0.3577,True
0.002,0.25,0.8,62,0.6417,1.3074,-0.0944,False
0.002,0.25,0.8,63,0.5305,1.9491,0.2274,False
0.002,0.25,0.8,64,-0.5602,0.1736,-0.4131,True
0.002,0.25,0.8,65,0.3709,0.8768,0.3753,False
